site_id	Site	Sample Type	Sample Point	Ag	alk_bicarb	alk_carb	alk_total	As	B	Ba	Be	Br	Ca	Cd	Cl	Co	Cr	Cu	DO	EC	F	Fe	K	Li	Mg	Mn	Mo	Na	Ni	ORP	P	Pb	ph_field	ph_lab	Sb	Se	SO4	Sr	TDS	TEMP	Tl	TURB	U	V	Zn
S40	22354	Ash Pond Water	MP-001F		79	12	91	0.0097	0.86	0.24	-0.00062		100	-0.0002	23	0.00019	0.0048		19.85	573	0.4	-0.047	5	0.066	13		0.3	27		31.9	0.23	-0.00045	8.78		0.00077	0.011	290	2.1	500	15.2	0.00036	4.42		0.92	
S17	22354	CCP Porewater	PZ-1		-5	130	440	0.0064	7.5	2.5	-0.00062		120	0.0003	97	-0.00019	-0.0012		2.95	1212	0.47	-0.047	30	0.021	-0.061		1.5	67		67.4	-0.076	-0.00045	11.44		0.001	0.014	25	14	650	14	-0.0002	0.51		0.016	
S18	22354	CCP Porewater	PZ-2		-5	270	1700	0.0086	5.8	0.52	-0.00062		23	0.00046	32	0.0012	-0.0012		2.28	5564	3	-0.047	240	0.0025	-0.061		2	600		-24.5	-0.076	-0.00045	12.28		0.00066	0.13	120	3.4	2000	14.4	0.00038	1.62		0.38	
S19	22354	CCP Porewater	PZ-3		-5	110	570	0.0025	4.2	1.9	-0.00062		87	-0.0002	34	-0.00019	-0.0012		2.48	1715	0.65	-0.047	67	0.055	-0.061		0.18	100		47.4	-0.076	-0.00045	11.75		-0.00057	0.054	14	15	730	14	-0.0002	0.62		0.037	
S20	22354	CCP Porewater	PZ-4		-5	61	160	0.081	2.5	0.13	-0.00062		71	0.00029	34	-0.00019	-0.0012		2.53	724	0.29	-0.047	68	0.52	-0.061		1.3	41		73	-0.076	-0.00045	11.24		0.00083	0.0074	180	1.6	490	12.4	-0.0002	4.1		0.27	
S15	22354	CCP Porewater	PZ-5		-5	69	130	0.024	12	0.086	-0.00062		280	0.0025	26	-0.00019	-0.0012		3.04	931	0.094	-0.047	3.4	0.011	0.6		10	0.92		27.2	-0.076	-0.00045	10.18		0.0039	0.004	590	10	1000	13.5	-0.0002	1.68		0.39	
S1	22354	GW-Downgradient	MW-16-01		200	-5	200	-0.00075	0.26	0.0086	-0.00062		410	-0.0002	9.9	-0.00019	-0.0012		2.81	1727	1.6	0.12	3.5	0.072	140		0.0015	7.4		37.7	-0.076	-0.00045	6.9		0.00057	-0.00089	1500	12	2000	12.9	0.00072	1.52		-0.00082	
S9	22354	GW-Downgradient	MW-16-02		190	-5	190	-0.00075	0.37	0.0059	-0.00062		410	-0.0002	13	-0.00019	-0.0012		0.54	1834	1.5	0.23	3.7	0.1	140		-0.0011	10		-11.8	-0.076	-0.00045	7.13		-0.00057	-0.00089	1600	12	2100	12.12	-0.0002	0		-0.00082	
S8	22354	GW-Downgradient	MW-16-06		190	-5	190	0.00077	0.3	0.0059	-0.00062		390	-0.0002	11	-0.00019	-0.0012		2.39	1736	1.5	0.54	3.5	0.086	140		-0.0011	10		-13.3	-0.076	-0.00045	7.07		-0.00057	-0.00089	1500	12	1900	13.6	-0.0002	6.4		-0.00082	
S16	22354	GW-Downgradient	MW-16-07		190	-5	190	-0.00075	0.18	0.0057	-0.00062		420	-0.0002	7.2	-0.00019	-0.0012		2.5	1670	1.3	0.7	2.6	0.04	130		-0.0011	6.9		1.9	-0.076	-0.00045	6.9		-0.00057	-0.00089	1400	13	1900	12.3	-0.0002	1.71		-0.00082	
