genera	S1	S10	S101	S102	S103	S104	S105	S106	S107	S108	S109	S11	S14	S15	S16	S1601	S1602	S17	S18	S19	S20	S21	S22	S23	S24	S26	S27	S29	S3	S30	S31	S32	S33	S34	S36	S38	S39	S4	S40	S41	S42	S43	S45	S47	S49	S5	S51	S53	S55	S59	S6	S60	S62	S64	S65	S66	S67	S68	S73	S74	S75	S76	S77	S8	S81	S82	S83	S84	S85	S86	S87	S88	S89	S9	S90	S91	S92	S93	S95	S98
g__SHND01	0	0	0	64	0	0	10	0	0	166	0	0	0	0	756	0	0	0	0	8	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	67	19	388	0	86	0	0	0	0	0	10	0	0	62	0	100	0	7	0	29	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	65
g__JAGQRA01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__UBA994	0	0	0	0	0	0	99	4	0	0	0	5	170	0	0	0	0	0	6	0	0	0	0	0	10	0	0	0	0	0	0	269	0	15	0	0	0	0	0	0	99	0	336	0	0	0	0	0	0	817	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	548	0	0	50	0	0	0	0	0	23	0	0	0
g__JACPHB01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0
g__JADMIH01	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0
g__JACPFN01	0	0	0	159	14	0	7	32	3	334	16	0	0	20	53	7	0	30	324	0	0	11	0	0	40	0	63	0	0	17	0	0	0	5	0	0	0	0	0	21	0	0	0	0	0	8	0	17	0	7	2	0	173	0	339	26	2	0	0	63	760	0	0	0	2	10	0	65	6	691	0	11	70	94	179	0	136	11	0	0
g__JAAUSQ01	0	0	0	0	0	0	0	0	0	43	0	0	0	0	130	0	0	0	61	0	0	0	0	0	8	10	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66	0	0	0	20	0	0	0	0	0	0	0	0	0	0	16
g__SZUA-287	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	214	0	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	3	0	0	0
g__JAADIO01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	47	0	0
g__Desulfogranum	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	4	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0
